#{W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
# {z1 -> 2.691469, z2 -> 4.915440, u -> 4.5, w -> 0.15}
Nu0,M1,M2,stable

4.83,0,78.7369,False

4.83,42.5972,46.6119,True

4.83,109.174,2.93403,False

4.83,114.209,0,True

4.84,0,0,False

4.84,0,78.8721,False

4.84,43.5245,46.0714,True

4.84,108.369,3.5172,False

4.84,114.395,0,True

4.85,0,0,False

4.85,0,79.0071,False

4.85,44.475,45.5153,True

4.85,107.54,4.11596,False

4.85,114.58,0,True

4.86,0,0,False

4.86,0,79.142,False

4.86,45.4508,44.9422,True

4.86,106.686,4.73166,False

4.86,114.765,0,True

4.87,0,0,False

4.87,0,79.2767,False

4.87,46.4541,44.3504,True

4.87,105.804,5.36585,False

4.87,114.95,0,True

4.88,0,0,False

4.88,0,79.4113,False

4.88,47.4878,43.7383,True

4.88,104.892,6.02034,False

4.88,115.134,0,True

4.89,0,0,False

4.89,0,79.5458,False

4.89,48.555,43.1037,True

4.89,103.946,6.69725,False

4.89,115.318,0,True

4.9,0,0,False

4.9,0,79.6801,False

4.9,49.6595,42.4441,True

4.9,102.963,7.3991,False

4.9,115.502,0,True

4.91,0,0,False

4.91,0,79.8143,False

4.91,50.8058,41.7564,True

4.91,101.937,8.12893,False

4.91,115.686,0,True

4.92,0,0,False

4.92,0,79.9484,False

4.92,51.9997,41.037,True

4.92,100.864,8.89044,False

4.92,115.87,0,True

4.93,0,0,False

4.93,0,80.0823,False

4.93,53.248,40.2811,True

4.93,99.7369,9.68824,False

4.93,116.053,0,True

4.94,0,0,False

4.94,0,80.2161,False

4.94,54.5596,39.4831,True

4.94,98.546,10.5282,False

4.94,116.236,0,True

4.95,0,0,False

4.95,0,80.3498,False

4.95,55.946,38.6352,True

4.95,97.2803,11.4178,False

4.95,116.419,0,True

4.96,0,0,False

4.96,0,80.4833,False

4.96,57.4226,37.7273,True

4.96,95.9242,12.3675,False

4.96,116.601,0,True

4.97,0,0,False

4.97,0,80.6167,False

4.97,59.0111,36.745,True

4.97,94.4561,13.3914,False

4.97,116.784,0,True

4.98,0,0,False

4.98,0,80.75,False

4.98,60.7434,35.6673,True

4.98,92.8441,14.5107,False

4.98,116.966,0,True

4.99,0,0,False

4.99,0,80.8831,False

4.99,62.6703,34.4605,True

4.99,91.0373,15.759,False

4.99,117.148,0,True

5.,0,0,False

5.,0,81.0161,False

5.,64.8821,33.0649,True

5.,88.9455,17.1959,False

5.,117.33,0,True

5.01,0,0,False

5.01,0,81.149,False

5.01,67.5726,31.3528,True

5.01,86.375,18.9494,False

5.01,117.511,0,True

5.02,0,0,False

5.02,0,81.2817,False

5.02,71.3736,28.9066,True

5.02,82.6938,21.4368,False

5.02,117.692,0,True

5.03,0,0,False

5.03,0,81.4143,False

5.03,117.874,0,True

5.04,0,0,False

5.04,0,81.5468,False

5.04,118.054,0,True

5.05,0,0,False

5.05,0,81.6791,False

5.05,118.235,0,True

5.06,0,0,False

5.06,0,81.8113,False

5.06,118.415,0,True

5.07,0,0,False

5.07,0,81.9434,False

5.07,118.596,0,True

5.08,0,0,False

5.08,0,82.0753,False

5.08,118.776,0,True

5.09,0,0,False

5.09,0,82.2072,False

5.09,118.955,0,True

5.1,0,0,False

5.1,0,82.3388,False

5.1,119.135,0,True

5.11,0,0,False

5.11,0,82.4704,False

5.11,119.314,0,True

5.12,0,0,False

5.12,0,82.6018,False

5.12,119.493,0,True

5.13,0,0,False

5.13,0,82.7331,False

