# {W0 -> 1, a0 -> 0.01, zb -> 10, r -> 0.5, l -> 0.05, b -> 1,  q0 -> 0.005, p -> 0.5, h -> 0.1 }
#{z1 -> 3.537603, z2 -> 5.762877, u -> 4.5, w -> 0.1}
Nu0,M1,M2,stable

4.52,110.122,0,False

4.53,0,0,False

4.53,0,74.4135,False

4.53,7.68741,68.4185,True

4.53,110.303,0,False

4.54,0,0,False

4.54,0,74.5434,False

4.54,8.26018,68.1046,True

4.54,110.484,0,False

4.55,0,0,False

4.55,0,74.6733,False

4.55,8.83734,67.7875,True

4.55,110.664,0,False

4.56,0,0,False

4.56,0,74.8029,False

4.56,9.41902,67.4672,True

4.56,110.844,0,False

4.57,0,0,False

4.57,0,74.9325,False

4.57,10.0053,67.1436,True

4.57,111.024,0,False

4.58,0,0,False

4.58,0,75.0619,False

4.58,10.5964,66.8166,True

4.58,111.203,0,False

4.59,0,0,False

4.59,0,75.1911,False

4.59,11.1925,66.4861,True

4.59,111.383,0,False

4.6,0,0,False

4.6,0,75.3203,False

4.6,11.7936,66.152,True

4.6,111.562,0,False

4.61,0,0,False

4.61,0,75.4492,False

4.61,12.4,65.8142,True

4.61,111.741,0,False

4.62,0,0,False

4.62,0,75.5781,False

4.62,13.0117,65.4726,True

4.62,111.92,0,False

4.63,0,0,False

4.63,0,75.7068,False

4.63,13.6291,65.127,True

4.63,112.098,0,False

4.64,0,0,False

4.64,0,75.8354,False

4.64,14.2523,64.7774,True

4.64,112.276,0,False

4.65,0,0,False

4.65,0,75.9639,False

4.65,14.8814,64.4235,True

4.65,112.454,0,False

4.66,0,0,False

4.66,0,76.0922,False

4.66,15.5168,64.0653,True

4.66,112.632,0,False

4.67,0,0,False

4.67,0,76.2204,False

4.67,16.1586,63.7027,True

4.67,112.81,0,False

4.68,0,0,False

4.68,0,76.3484,False

4.68,16.807,63.3353,True

4.68,112.295,0.384962,False

4.68,112.987,0,True

4.69,0,0,False

4.69,0,76.4764,False

4.69,17.4623,62.9632,True

4.69,111.761,0.780739,False

4.69,113.164,0,True

4.7,0,0,False

4.7,0,76.6042,False

4.7,18.1249,62.586,True

4.7,111.221,1.18147,False

4.7,113.341,0,True

4.71,0,0,False

4.71,0,76.7318,False

4.71,18.7948,62.2036,True

4.71,110.673,1.58733,False

4.71,113.518,0,True

4.72,0,0,False

4.72,0,76.8594,False

4.72,19.4726,61.8159,True

4.72,110.117,1.99855,False

4.72,113.694,0,True

4.73,0,0,False

4.73,0,76.9868,False

4.73,20.1584,61.4225,True

4.73,109.553,2.41533,False

4.73,113.87,0,True

4.74,0,0,False

4.74,0,77.114,False

4.74,20.8527,61.0233,True

4.74,108.981,2.8379,False

4.74,114.046,0,True

4.75,0,0,False

4.75,0,77.2412,False

4.75,21.5558,60.618,True

4.75,108.399,3.26652,False

4.75,114.222,0,True

4.76,0,0,False

4.76,0,77.3682,False

4.76,22.2682,60.2063,True

4.76,107.808,3.70145,False

4.76,114.398,0,True

4.77,0,0,False

4.77,0,77.4951,False

4.77,22.9901,59.788,True

4.77,107.208,4.14299,False

4.77,114.573,0,True

4.78,0,0,False

4.78,0,77.6218,False

4.78,23.7222,59.3626,True

4.78,106.597,4.59145,False

4.78,114.748,0,True

4.79,0,0,False

4.79,0,77.7484,False

4.79,24.4649,58.93,True

4.79,105.976,5.04716,False

4.79,114.923,0,True

4.8,0,0,False

4.8,0,77.8749,False

4.8,25.2187,58.4897,True

4.8,105.343,5.51049,False

4.8,115.098,0,True

4.81,0,0,False

4.81,0,78.0013,False

4.81,25.9843,58.0414,True

4.81,104.698,5.98184,False

4.81,115.272,0,True

4.82,0,0,False

4.82,0,78.1276,False

4.82,26.7624,57.5845,True

4.82,104.041,6.46164,False

4.82,115.447,0,True

4.83,0,0,False

4.83,0,78.2537,False

4.83,27.5535,57.1187,True

4.83,103.371,6.95036,False

4.83,115.621,0,True

4.84,0,0,False

4.84,0,78.3796,False

4.84,28.3585,56.6434,True

4.84,102.686,7.44853,False

4.84,115.795,0,True

4.85,0,0,False

4.85,0,78.5055,False

4.85,29.1782,56.158,True

4.85,101.987,7.95672,False

4.85,115.968,0,True

4.86,0,0,False

4.86,0,78.6312,False

4.86,30.0137,55.6618,True

4.86,101.272,8.47556,False

4.86,116.142,0,True

4.87,0,0,False

4.87,0,78.7568,False

4.87,30.8659,55.1543,True

4.87,100.54,9.00577,False

4.87,116.315,0,True

4.88,0,0,False

4.88,0,78.8823,False

4.88,31.736,54.6346,True

4.88,99.7902,9.54812,False

4.88,116.488,0,True

4.89,0,0,False

4.89,0,79.0077,False

4.89,32.6254,54.1018,True

4.89,99.0209,10.1035,False

4.89,116.661,0,True

4.9,0,0,False

4.9,0,79.1329,False

4.9,33.5354,53.555,True

4.9,98.2308,10.6729,False

4.9,116.833,0,True

4.91,0,0,False

4.91,0,79.258,False

4.91,34.4679,52.9929,True

4.91,97.4182,11.2574,False

4.91,117.006,0,True

4.92,0,0,False

4.92,0,79.383,False

4.92,35.4247,52.4144,True

4.92,96.5812,11.8584,False

4.92,117.178,0,True

4.93,0,0,False

4.93,0,79.5078,False

4.93,36.4081,51.8179,True

4.93,95.7175,12.4773,False

4.93,117.35,0,True

4.94,0,0,False

4.94,0,79.6326,False

4.94,37.4206,51.2017,True

4.94,94.8246,13.1158,False

4.94,117.522,0,True

4.95,0,0,False

4.95,0,79.7572,False

4.95,38.4652,50.5639,True

4.95,93.8995,13.7759,False

4.95,117.693,0,True

4.96,0,0,False

4.96,0,79.8817,False

4.96,39.5455,49.9019,True

4.96,92.9386,14.4601,False

4.96,117.864,0,True

4.97,0,0,False

4.97,0,80.006,False

4.97,40.6657,49.2131,True

4.97,91.9376,15.1711,False

4.97,118.036,0,True

4.98,0,0,False

4.98,0,80.1303,False

4.98,41.8311,48.4939,True

4.98,90.8914,15.9124,False

4.98,118.207,0,True

4.99,0,0,False

4.99,0,80.2544,False

4.99,43.048,47.74,True

4.99,89.7935,16.6884,False

4.99,118.377,0,True

5.,0,0,False

5.,0,80.3784,False

5.,44.3246,46.946,True

5.,88.6359,17.5044,False

5.,118.548,0,True

5.01,0,0,False

5.01,0,80.5023,False

5.01,45.6713,46.1051,True

5.01,87.408,18.3674,False

5.01,118.718,0,True

5.02,0,0,False

5.02,0,80.626,False

5.02,47.102,45.2078,True

